credit_account,strategy,liquidation_version,pool_price_near_liquidation,oracle_price_near_liquidation,health_factor_near_liquidation,low_liquidation_price_near_liquidation,high_liquidation_price_near_liquidation,last_action_name,last_action_tx_version,pool_price_at_last_action,oracle_price_at_last_action,health_factor_at_last_action,low_liquidation_price_at_last_action,high_liquidation_price_at_last_action,pool_price_difference_percentage
0xa63e3cecce49abb57e11095d6214054b8fc3ec49bac6b5cdaba963d931fcfd72,hyperion APT-USDC,2936040898,4.33,4.34,1.00049151,1.04,4.33,RewardsClaimed,2935969587,4.33,4.33,1.00120274,1.04,4.33,0.05
0x19e96f4413d0774ea83fa4ef8ad1ecd336095d0c8d213757bb3df84eada1267b,hyperion APT-USDC,2938394057,4.43,4.44,1.00023119,3.19,4.43,RewardsClaimed,2938393690,4.43,4.44,1.00023299,3.19,4.43,0.03
0xc5d75c29d69ae9be63e80246a70ae6ae39da51e1eeac2702b21b33a8aa41ccdf,hyperion APT-USDC,2940706759,4.67,4.69,1.00128739,3.51,4.68,RewardsClaimed,2940706250,4.67,4.71,1.00085149,3.51,4.68,0.24
0x4f4cc25504e876f2dcb2da90bad04b171c5c93d13ac30643c691d474dfe8ac0,hyperion APT-USDC,2941470863,5.07,5.07,0.99542756,5.07,5.07,RewardsClaimed,2941470356,5.07,5.07,0.99512922,5.07,5.07,0.05
0xb121969787a73a1a8add2f092525e6ba02bba24d149b9823c1391bce0f0c1bbc,hyperion APT-USDC,2941658474,5.12,5.13,0.99828782,5.12,5.12,RewardsClaimed,2941658004,5.13,5.12,0.99804438,5.13,5.13,0.04
0x4640f891a43a86603ee283bc49548e7c4e24aac2e258c928b6cb35b81cab6abd,hyperion APT-USDC,2944968557,4.87,4.87,0.99507015,4.87,4.87,RewardsClaimed,2941638964,5.05,5.04,1.02829572,4.9,1000000000,0.57
0x44fa52df9327e160287c0a2b5a36373e50181cd863356cf9c6f37d8504c7ea04,hyperion xBTC-USDC,2985961069,105399.54,105290.17,1.00016835,105359.84,1000000000,RewardsClaimed,2985958781,105470.93,105319.08,1.00047035,105359.6,1000000000,-0.04
0x6b2c2f2266e9c02e27855f4c95001828d1d78392aedb8c64f644d1591a38ec79,hyperion USDC-USDT,3003471989,1,1,1.00002966,1,1000000000,RewardsClaimed,3003437939,1,1,1.00002713,1,1000000000,0
0xa339870aa1af1d64008ecd16abaac526accaa456b3d3e6c91146cb6280ae4359,hyperion USDC-USDT,3014466281,1,1,0.99996466,1,1,RewardsClaimed,3014363720,1,1,0.99997223,1,1,0
0x2610323de8bf6697a3c29a28e74120c4ec5f3cded09df8ea3571a95655c0e671,hyperion USDC-USDT,3020495526,1,1,1.00003169,1,1000000000,RewardsClaimed,3020495139,1,1,1.00003172,1,1000000000,-0.01
0xb479f471c506e7cbbcb0b6ed4e178131ea526f98026ee0f167e5084a2ab7290b,hyperion APT-USDC,3042682586,5.07,5.08,0.99981691,5.07,5.07,RewardsClaimed,3041357439,5.04,5.04,1.00340408,3.64,5.07,-0.03
0xe02447fe9ad19360b85e461ee9139416f6ef26cc5a9961ab9e6d068d08db7084,hyperion APT-USDC,3109071781,4.99,4.98,1.00094015,4.99,6.88,RewardsClaimed,3109071432,5,4.98,1.00227018,4.99,6.88,-0.11
0x5b7526c1e0f6c4d688a3e023110c2658048268a79c0a1d608e11ae0fe4f8871a,hyperion APT-USDC,3109734245,4.8,4.75,1.00510162,4.76,5.61,RewardsClaimed,3109734046,4.8,4.74,1.00530447,4.76,5.61,-0.76
0xdf7944c74ff743a116fe16cd767b7b7bb021a88480595e0721d2f634d863cc67,hyperion APT-USDC,3111152963,4.67,4.67,0.99982904,4.67,4.67,RewardsClaimed,3111147988,4.68,4.68,1.00073815,4.67,7.34,0.02
0x14a4e30bd3efdca29d95121fe526203c8300e1bb04aabef9dfffe25ca2e80a02,hyperion APT-USDC,3111166130,4.64,4.63,0.99963899,4.64,4.64,RewardsClaimed,3111163906,4.65,4.65,1.00083883,4.64,7.43,0.05
0xf1d87206ebc403c59f0a83bc67cfdf5c842eca3cdd8cd3d7098297eac36aea91,hyperion APT-USDC,3111494047,4.52,4.52,0.99991623,4.52,4.52,RewardsClaimed,3111493134,4.52,4.52,1.00003413,4.52,4.98,0.04
